Front,Back,Tags
"爱<br><span style=""font-size:0.55em;color:#666"">ài</span>",love<br><br>我爱看书。<br>Wǒ ài kàn shū.<br>I love reading.,type::verb lesson::lesson2 frequency::high topic::emotions hsk::1
"生词<br><span style=""font-size:0.55em;color:#666"">shēngcí</span>",new word<br><br>这个生词是什么意思？<br>Zhège shēngcí shì shénme yìsi?<br>What does this new word mean?,"type::noun lesson::lesson2 frequency::high topic::language,school hsk::2"
"意思<br><span style=""font-size:0.55em;color:#666"">yìsi</span>",meaning<br><br>这个生词是什么意思？<br>Zhège shēngcí shì shénme yìsi?<br>What does this new word mean?,type::noun lesson::lesson2 frequency::high topic::language hsk::1
"想<br><span style=""font-size:0.55em;color:#666"">xiǎng</span>",want<br><br>我想学习汉语。<br>Wǒ xiǎng xuéxí Hànyǔ.<br>I want to learn Chinese.,type::verb lesson::lesson2 frequency::high topic::desire hsk::1 grammar::modal_verb
"知道<br><span style=""font-size:0.55em;color:#666"">zhīdào</span>",know<br><br>我想知道你的名字。<br>Wǒ xiǎng zhīdào nǐ de míngzi.<br>I want to know your name.,type::verb lesson::lesson2 frequency::high topic::cognition hsk::1
"听<br><span style=""font-size:0.55em;color:#666"">tīng</span>",listen to<br><br>请听我说。<br>Qǐng tīng wǒ shuō.<br>Please listen to me.,type::verb lesson::lesson2 frequency::high topic::actions hsk::1
"拼音<br><span style=""font-size:0.55em;color:#666"">pīnyīn</span>",Pinyin<br><br>请写拼音。<br>Qǐng xiě pīnyīn.<br>Please write it in Pinyin.,type::noun lesson::lesson2 frequency::high topic::language hsk::1
"上课<br><span style=""font-size:0.55em;color:#666"">shàngkè</span>",Class begins!<br><br>上课！大家请坐。<br>Shàngkè! Dàjiā qǐng zuò.<br>Class begins! Everyone please sit.,type::verb lesson::lesson2 frequency::high topic::classroom hsk::1 grammar::separable
"下课<br><span style=""font-size:0.55em;color:#666"">xiàkè</span>",Class is over!<br><br>下课！明天见。<br>Xiàkè! Míngtiān jiàn.<br>Class is over! See you tomorrow.,type::verb lesson::lesson2 frequency::high topic::classroom hsk::1 grammar::separable
"休息一下<br><span style=""font-size:0.55em;color:#666"">xiūxi yíxià</span>",Take a break.<br><br>我们休息一下吧。<br>Wǒmen xiūxi yíxià ba.<br>Let's take a break.,type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2 grammar::verb+一下
"请听我说<br><span style=""font-size:0.55em;color:#666"">qǐng tīng wǒ shuō</span>",Please listen to me.<br><br>请听我说完。<br>Qǐng tīng wǒ shuō wán.<br>Please listen until I'm finished.,type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2
"请跟我读<br><span style=""font-size:0.55em;color:#666"">qǐng gēn wǒ dú</span>",Please read after me.<br><br>请跟我读这个生词。<br>Qǐng gēn wǒ dú zhège shēngcí.<br>Please read this new word after me.,type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2
"请看白板<br><span style=""font-size:0.55em;color:#666"">qǐng kàn báibǎn</span>",Please look at the whiteboard.<br><br>请看白板上的例句。<br>Qǐng kàn báibǎn shàng de lìjù.<br>Please look at the example sentences on the whiteboard.,type::phrase lesson::lesson2 frequency::medium topic::classroom
"请看书<br><span style=""font-size:0.55em;color:#666"">qǐng kàn shū</span>",Please look at the book.<br><br>请看书第五页。<br>Qǐng kàn shū dì-wǔ yè.<br>Please look at page 5 of the book.,type::phrase lesson::lesson2 frequency::high topic::classroom hsk::1
"请再说一遍<br><span style=""font-size:0.55em;color:#666"">qǐng zài shuō yí biàn</span>","Please say it again.<br><br>我没听清，请再说一遍。<br>Wǒ méi tīng qīng, qǐng zài shuō yí biàn.<br>I didn't hear clearly, please say it again.",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::1
"请写拼音<br><span style=""font-size:0.55em;color:#666"">qǐng xiě pīnyīn</span>","Please write it in Pinyin.<br><br>请写拼音，不要写汉字。<br>Qǐng xiě pīnyīn, bú yào xiě Hànzì.<br>Please write Pinyin, not characters.",type::phrase lesson::lesson2 frequency::medium topic::classroom hsk::2
"第几声<br><span style=""font-size:0.55em;color:#666"">dì jǐ shēng</span>",Which tone?<br><br>这个字第几声？<br>Zhège zì dì jǐ shēng?<br>Which tone is this character?,type::phrase lesson::lesson2 frequency::high topic::classroom hsk::1
"请慢慢说<br><span style=""font-size:0.55em;color:#666"">qǐng mànmàn shuō</span>","Please speak slowly.<br><br>请慢慢说，我在记笔记。<br>Qǐng mànmàn shuō, wǒ zài jì bǐjì.<br>Please speak slowly, I'm taking notes.",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2
"我没听懂<br><span style=""font-size:0.55em;color:#666"">wǒ méi tīngdǒng</span>","I didn't understand.<br><br>对不起，我没听懂。<br>Duìbuqǐ, wǒ méi tīngdǒng.<br>Sorry, I didn't understand.",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::1 grammar::resultative_complement
"把书翻到第一页<br><span style=""font-size:0.55em;color:#666"">bǎ shū fāndào dì-yī yè</span>","Turn to page 1.<br><br>请大家把书翻到第一页。<br>Qǐng dàjiā bǎ shū fāndào dì-yī yè.<br>Everyone, turn to page 1.",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2 grammar::把-sentence
"请问这个用汉语怎么说<br><span style=""font-size:0.55em;color:#666"">qǐngwèn zhège yòng Hànyǔ zěnme shuō</span>","Excuse me, how do you say this in Chinese?<br><br>老师，请问这个用汉语怎么说？<br>Lǎoshī, qǐngwèn zhège yòng Hànyǔ zěnme shuō?<br>Teacher, excuse me, how do you say this in Chinese?",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2
"请问这个汉字怎么读<br><span style=""font-size:0.55em;color:#666"">qǐngwèn zhège Hànzì zěnme dú</span>","Excuse me, how do you pronounce this Chinese character?<br><br>请问这个汉字怎么读？是第三声吗？<br>Qǐngwèn zhège Hànzì zěnme dú? Shì dì-sān shēng ma?<br>How do you read this character? Is it third tone?",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2
"请问这个生词是什么意思<br><span style=""font-size:0.55em;color:#666"">qǐngwèn zhège shēngcí shì shénme yìsi</span>","Excuse me, what does this new word mean?<br><br>请问""方便""这个生词是什么意思？<br>Qǐngwèn ""fāngbiàn"" zhège shēngcí shì shénme yìsi?<br>What does the new word ""fāngbiàn"" mean?",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2
"你好<br><span style=""font-size:0.55em;color:#666"">nǐ hǎo</span>",hello<br><br>你好！我叫李莉。<br>Nǐ hǎo! Wǒ jiào Lǐ Lì.<br>Hello! My name is Li Li.,type::phrase lesson::lesson3 frequency::high topic::greetings hsk::1
"好<br><span style=""font-size:0.55em;color:#666"">hǎo</span>",good; fine; nice<br><br>今天天气很好。<br>Jīntiān tiānqì hěn hǎo.<br>Today's weather is nice.,type::adjective lesson::lesson3 frequency::high topic::description hsk::1
"同学<br><span style=""font-size:0.55em;color:#666"">tóngxué</span>",classmate; fellow student<br><br>他是我的同学。<br>Tā shì wǒ de tóngxué.<br>He is my classmate.,"type::noun lesson::lesson3 frequency::high topic::school,people hsk::1"
"早上<br><span style=""font-size:0.55em;color:#666"">zǎoshang</span>",(early) morning<br><br>早上好！<br>Zǎoshang hǎo!<br>Good morning!,type::noun lesson::lesson3 frequency::high topic::time hsk::1
"再见<br><span style=""font-size:0.55em;color:#666"">zàijiàn</span>","goodbye<br><br>老师，再见！<br>Lǎoshī, zàijiàn!<br>Goodbye, teacher!",type::verb lesson::lesson3 frequency::high topic::greetings hsk::1
"谢谢<br><span style=""font-size:0.55em;color:#666"">xièxie</span>",thank you<br><br>谢谢你的帮助。<br>Xièxie nǐ de bāngzhù.<br>Thank you for your help.,type::verb lesson::lesson3 frequency::high topic::politeness hsk::1
"不客气<br><span style=""font-size:0.55em;color:#666"">bú kèqi</span>",you're welcome<br><br>谢谢！——不客气。<br>Xièxie! — Bú kèqi.<br>Thank you! — You're welcome.,type::phrase lesson::lesson3 frequency::high topic::politeness hsk::1
"对不起<br><span style=""font-size:0.55em;color:#666"">duìbuqǐ</span>","sorry<br><br>对不起，我来晚了。<br>Duìbuqǐ, wǒ lái wǎn le.<br>Sorry, I'm late.",type::phrase lesson::lesson3 frequency::high topic::politeness hsk::1
"没关系<br><span style=""font-size:0.55em;color:#666"">méi guānxi</span>",that's all right<br><br>对不起！——没关系。<br>Duìbuqǐ! — Méi guānxi.<br>Sorry! — That's all right.,type::phrase lesson::lesson3 frequency::high topic::politeness hsk::1
"很<br><span style=""font-size:0.55em;color:#666"">hěn</span>",very<br><br>我很高兴。<br>Wǒ hěn gāoxìng.<br>I'm very happy.,type::adverb lesson::lesson3 frequency::high topic::grammar hsk::1
"呢<br><span style=""font-size:0.55em;color:#666"">ne</span>","[marker of a special, alternative, or rhetorical question]<br><br>我很好，你呢？<br>Wǒ hěn hǎo, nǐ ne?<br>I'm fine, and you?",type::particle lesson::lesson3 frequency::high topic::grammar hsk::1
"最近<br><span style=""font-size:0.55em;color:#666"">zuìjìn</span>",recently; lately<br><br>你最近怎么样？<br>Nǐ zuìjìn zěnmeyàng?<br>How have you been recently?,type::noun lesson::lesson3 frequency::high topic::time hsk::2
"忙<br><span style=""font-size:0.55em;color:#666"">máng</span>",busy<br><br>我最近很忙。<br>Wǒ zuìjìn hěn máng.<br>I've been busy lately.,type::adjective lesson::lesson3 frequency::high topic::feelings hsk::1
"饿<br><span style=""font-size:0.55em;color:#666"">è</span>",hungry<br><br>我有点儿饿。<br>Wǒ yǒudiǎnr è.<br>I'm a bit hungry.,type::adjective lesson::lesson3 frequency::high topic::feelings hsk::1
"有点儿<br><span style=""font-size:0.55em;color:#666"">yǒudiǎnr</span>",somewhat; a bit<br><br>我有点儿饿。<br>Wǒ yǒudiǎnr è.<br>I'm a bit hungry.,type::adverb lesson::lesson3 frequency::high topic::description hsk::1
"吃饭<br><span style=""font-size:0.55em;color:#666"">chī fàn</span>",have/eat a meal<br><br>你吃饭了吗？<br>Nǐ chī fàn le ma?<br>Have you eaten?,type::verb_phrase lesson::lesson3 frequency::high topic::food hsk::1 grammar::separable
"吧<br><span style=""font-size:0.55em;color:#666"">ba</span>",[used at the end of an imperative sentence to soften the tone]<br><br>我们走吧。<br>Wǒmen zǒu ba.<br>Let's go.,type::particle lesson::lesson3 frequency::high topic::grammar hsk::1
"难<br><span style=""font-size:0.55em;color:#666"">nán</span>",difficult; hard<br><br>汉语很难吗？<br>Hànyǔ hěn nán ma?<br>Is Chinese difficult?,type::adjective lesson::lesson3 frequency::high topic::description hsk::1
"非常<br><span style=""font-size:0.55em;color:#666"">fēicháng</span>",very; extremely<br><br>我非常高兴认识你。<br>Wǒ fēicháng gāoxìng rènshi nǐ.<br>I'm extremely happy to meet you.,type::adverb lesson::lesson3 frequency::high topic::grammar hsk::2
"高兴<br><span style=""font-size:0.55em;color:#666"">gāoxìng</span>",glad; happy<br><br>认识你很高兴。<br>Rènshi nǐ hěn gāoxìng.<br>Glad to meet you.,type::adjective lesson::lesson3 frequency::high topic::feelings hsk::1
"认识<br><span style=""font-size:0.55em;color:#666"">rènshi</span>",know; be acquainted with<br><br>认识你很高兴。<br>Rènshi nǐ hěn gāoxìng.<br>Nice to meet you.,type::verb lesson::lesson3 frequency::high topic::social hsk::1
"漂亮<br><span style=""font-size:0.55em;color:#666"">piàoliang</span>",beautiful<br><br>她很漂亮。<br>Tā hěn piàoliang.<br>She is very beautiful.,type::adjective lesson::lesson3 frequency::high topic::description hsk::1
"累<br><span style=""font-size:0.55em;color:#666"">lèi</span>",tired<br><br>我今天很累。<br>Wǒ jīntiān hěn lèi.<br>I'm very tired today.,type::adjective lesson::lesson3 frequency::high topic::feelings hsk::1
"明天见<br><span style=""font-size:0.55em;color:#666"">míngtiān jiàn</span>",see you tomorrow<br><br>明天见！<br>Míngtiān jiàn!<br>See you tomorrow!,type::phrase lesson::lesson3 frequency::high topic::greetings hsk::1
"晚安<br><span style=""font-size:0.55em;color:#666"">wǎn'ān</span>","good night<br><br>晚安，做个好梦。<br>Wǎn'ān, zuò ge hǎo mèng.<br>Good night, sweet dreams.",type::phrase lesson::lesson3 frequency::high topic::greetings hsk::1
"今天<br><span style=""font-size:0.55em;color:#666"">jīntiān</span>",today<br><br>今天是几月几号？<br>Jīntiān shì jǐ yuè jǐ hào?<br>What's the date today?,type::noun lesson::lesson4 frequency::high topic::time hsk::1
"几<br><span style=""font-size:0.55em;color:#666"">jǐ</span>",which; what<br><br>今天几月几号？<br>Jīntiān jǐ yuè jǐ hào?<br>What is today's date?,"type::pronoun lesson::lesson4 frequency::high topic::questions,numbers hsk::1 grammar::question_word"
"月<br><span style=""font-size:0.55em;color:#666"">yuè</span>",month<br><br>现在是九月。<br>Xiànzài shì jiǔyuè.<br>It's September now.,type::noun lesson::lesson4 frequency::high topic::time hsk::1
"号<br><span style=""font-size:0.55em;color:#666"">hào</span>",date<br><br>今天是九月一号。<br>Jīntiān shì jiǔyuè yī hào.<br>Today is September 1st.,type::noun lesson::lesson4 frequency::high topic::time hsk::1
"九<br><span style=""font-size:0.55em;color:#666"">jiǔ</span>",nine<br><br>今天是九月九号。<br>Jīntiān shì jiǔyuè jiǔ hào.<br>Today is September 9th.,type::number lesson::lesson4 frequency::high topic::numbers hsk::1
"一<br><span style=""font-size:0.55em;color:#666"">yī</span>",one<br><br>今天是九月一号。<br>Jīntiān shì jiǔyuè yī hào.<br>Today is September 1st.,type::number lesson::lesson4 frequency::high topic::numbers hsk::1
"明天<br><span style=""font-size:0.55em;color:#666"">míngtiān</span>",tomorrow<br><br>明天是几月几号？<br>Míngtiān shì jǐ yuè jǐ hào?<br>What's tomorrow's date?,type::noun lesson::lesson4 frequency::high topic::time hsk::1
"二<br><span style=""font-size:0.55em;color:#666"">èr</span>",two<br><br>明天是九月二号。<br>Míngtiān shì jiǔyuè èr hào.<br>Tomorrow is September 2nd.,type::number lesson::lesson4 frequency::high topic::numbers hsk::1
"昨天<br><span style=""font-size:0.55em;color:#666"">zuótiān</span>",yesterday<br><br>昨天星期几？<br>Zuótiān xīngqī jǐ?<br>What day was yesterday?,type::noun lesson::lesson4 frequency::high topic::time hsk::1
"星期<br><span style=""font-size:0.55em;color:#666"">xīngqī</span>",week<br><br>一个星期有七天。<br>Yī ge xīngqī yǒu qī tiān.<br>A week has seven days.,type::noun lesson::lesson4 frequency::high topic::time hsk::1
"星期日<br><span style=""font-size:0.55em;color:#666"">Xīngqīrì</span>",Sunday<br><br>昨天是星期日。<br>Zuótiān shì Xīngqīrì.<br>Yesterday was Sunday.,"type::noun lesson::lesson4 frequency::high topic::time,days hsk::1"
"天<br><span style=""font-size:0.55em;color:#666"">tiān</span>",day<br><br>一个星期有七天。<br>Yī ge xīngqī yǒu qī tiān.<br>A week has seven days.,type::measure lesson::lesson4 frequency::high topic::time hsk::1
"七<br><span style=""font-size:0.55em;color:#666"">qī</span>",seven<br><br>一个星期有七天。<br>Yī ge xīngqī yǒu qī tiān.<br>A week has seven days.,type::number lesson::lesson4 frequency::high topic::numbers hsk::1
"年<br><span style=""font-size:0.55em;color:#666"">nián</span>",year<br><br>今年是2026年。<br>Jīnnián shì èr líng èr liù nián.<br>This year is 2026.,type::measure lesson::lesson4 frequency::high topic::time hsk::1
"多少<br><span style=""font-size:0.55em;color:#666"">duōshao</span>",how many; how much<br><br>你有多少书？<br>Nǐ yǒu duōshao shū?<br>How many books do you have?,type::pronoun lesson::lesson4 frequency::high topic::questions hsk::1 grammar::question_word
"十<br><span style=""font-size:0.55em;color:#666"">shí</span>",ten<br><br>我有十本书。<br>Wǒ yǒu shí běn shū.<br>I have ten books.,type::number lesson::lesson4 frequency::high topic::numbers hsk::1
"八<br><span style=""font-size:0.55em;color:#666"">bā</span>",eight<br><br>我八点上课。<br>Wǒ bā diǎn shàngkè.<br>I start class at eight o'clock.,type::number lesson::lesson4 frequency::high topic::numbers hsk::1
"星期一<br><span style=""font-size:0.55em;color:#666"">Xīngqīyī</span>",Monday<br><br>星期一我很忙。<br>Xīngqīyī wǒ hěn máng.<br>I'm busy on Monday.,"type::noun lesson::lesson4 frequency::high topic::time,days hsk::1"
"星期二<br><span style=""font-size:0.55em;color:#666"">Xīngqī'èr</span>",Tuesday<br><br>星期二有汉语课。<br>Xīngqī'èr yǒu Hànyǔ kè.<br>There's Chinese class on Tuesday.,"type::noun lesson::lesson4 frequency::high topic::time,days hsk::1"
"后天<br><span style=""font-size:0.55em;color:#666"">hòutiān</span>",the day after tomorrow<br><br>后天是我的生日。<br>Hòutiān shì wǒ de shēngrì.<br>The day after tomorrow is my birthday.,type::noun lesson::lesson4 frequency::high topic::time hsk::1
"星期三<br><span style=""font-size:0.55em;color:#666"">Xīngqīsān</span>",Wednesday<br><br>星期三下午没课。<br>Xīngqīsān xiàwǔ méi kè.<br>There's no class on Wednesday afternoon.,"type::noun lesson::lesson4 frequency::high topic::time,days hsk::1"
"三<br><span style=""font-size:0.55em;color:#666"">sān</span>",three<br><br>我三点下课。<br>Wǒ sān diǎn xiàkè.<br>I finish class at three.,type::number lesson::lesson4 frequency::high topic::numbers hsk::1
"百<br><span style=""font-size:0.55em;color:#666"">bǎi</span>",hundred<br><br>这本书一百块。<br>Zhè běn shū yī bǎi kuài.<br>This book costs one hundred yuan.,type::number lesson::lesson4 frequency::high topic::numbers hsk::1
"六<br><span style=""font-size:0.55em;color:#666"">liù</span>",six<br><br>我六点起床。<br>Wǒ liù diǎn qǐchuáng.<br>I get up at six.,type::number lesson::lesson4 frequency::high topic::numbers hsk::1
"五<br><span style=""font-size:0.55em;color:#666"">wǔ</span>",five<br><br>我有五个朋友。<br>Wǒ yǒu wǔ ge péngyou.<br>I have five friends.,type::number lesson::lesson4 frequency::high topic::numbers hsk::1
"四<br><span style=""font-size:0.55em;color:#666"">sì</span>",four<br><br>一年有四个季节。<br>Yī nián yǒu sì ge jìjié.<br>A year has four seasons.,type::number lesson::lesson4 frequency::high topic::numbers hsk::1
"姓<br><span style=""font-size:0.55em;color:#666"">xìng</span>",be surnamed<br><br>我姓王。<br>Wǒ xìng Wáng.<br>My surname is Wang.,type::verb lesson::lesson5 frequency::high topic::personal hsk::1
"叫<br><span style=""font-size:0.55em;color:#666"">jiào</span>",be called as<br><br>她叫李芳。<br>Tā jiào Lǐ Fāng.<br>She is called Li Fang.,type::verb lesson::lesson5 frequency::high topic::personal hsk::1
"名字<br><span style=""font-size:0.55em;color:#666"">míngzi</span>",name<br><br>我的名字是张伟。<br>Wǒ de míngzi shì Zhāng Wěi.<br>My name is Zhang Wei.,type::noun lesson::lesson5 frequency::high topic::personal hsk::1
"今年<br><span style=""font-size:0.55em;color:#666"">jīnnián</span>",this year<br><br>今年我二十岁。<br>Jīnnián wǒ èrshí suì.<br>I'm 20 years old this year.,type::noun lesson::lesson5 frequency::high topic::time hsk::1
"多<br><span style=""font-size:0.55em;color:#666"">duō</span>",[used in questions] how; to what extent<br><br>你多大了？<br>Nǐ duō dà le?<br>How old are you?,type::adverb lesson::lesson5 frequency::high topic::questions hsk::1 grammar::question_word
"大<br><span style=""font-size:0.55em;color:#666"">dà</span>",(of age) old<br><br>我哥哥比我大三岁。<br>Wǒ gēge bǐ wǒ dà sān suì.<br>My older brother is three years older than me.,type::adjective lesson::lesson5 frequency::high topic::personal hsk::1
"哪<br><span style=""font-size:0.55em;color:#666"">nǎ</span>",which<br><br>你是哪国人？<br>Nǐ shì nǎ guó rén?<br>Which country are you from?,type::pronoun lesson::lesson5 frequency::high topic::questions hsk::1 grammar::question_word
