Front,Back,Tags
自己,"zìjǐ (oneself)

我自己去。
Wǒ zìjǐ qù.
I’ll go myself.",type::pronoun lesson::lesson3 frequency::high topic::self hsk::2
电脑,"diànnǎo (computer)

我的电脑很快。
Wǒ de diànnǎo hěn kuài.
My computer is very fast.",type::noun lesson::bonus1 frequency::high topic::computers hsk::1
组装,"zǔzhuāng (to assemble)

我自己组装了一台电脑。
Wǒ zìjǐ zǔzhuāng le yī tái diànnǎo.
I assembled a computer myself.",type::verb lesson::bonus1 frequency::medium topic::computers
硬件,"yìngjiàn (hardware)

电脑硬件越来越便宜。
Diànnǎo yìngjiàn yuè lái yuè piányi.
Computer hardware is getting cheaper.",type::noun lesson::bonus1 frequency::medium topic::computers
中央处理器,"zhōngyāng chǔlǐqì (CPU)

中央处理器是电脑的大脑。
Zhōngyāng chǔlǐqì shì diànnǎo de dànǎo.
The CPU is the brain of the computer.",type::noun lesson::bonus1 frequency::medium topic::computers
显卡,"xiǎnkǎ (graphics card)

我的显卡坏了。
Wǒ de xiǎnkǎ huài le.
My graphics card is broken.","type::noun lesson::bonus1 frequency::medium topic::computers,gaming"
主板,"zhǔbǎn (motherboard)

所有零件都插在主板上。
Suǒyǒu língjiàn dōu chā zài zhǔbǎn shàng.
All components plug into the motherboard.",type::noun lesson::bonus1 frequency::medium topic::computers
内存,"nèicún (RAM / memory)

十六G内存就够了。
Shíliù G nèicún jiù gòu le.
16GB of RAM is enough.",type::noun lesson::bonus1 frequency::medium topic::computers
硬盘,"yìngpán (hard drive)

我的硬盘满了。
Wǒ de yìngpán mǎn le.
My hard drive is full.",type::noun lesson::bonus1 frequency::medium topic::computers
固态硬盘,"gùtài yìngpán (SSD)

固态硬盘开机很快。
Gùtài yìngpán kāijī hěn kuài.
An SSD boots up very fast.",type::noun lesson::bonus1 frequency::medium topic::computers
电源,"diànyuán (power supply)

电源坏了电脑就开不了机。
Diànyuán huài le diànnǎo jiù kāi bù liǎo jī.
If the PSU breaks, the PC won’t turn on.",type::noun lesson::bonus1 frequency::medium topic::computers
机箱,"jīxiāng (computer case)

这个机箱很漂亮。
Zhège jīxiāng hěn piàoliang.
This case is very pretty.",type::noun lesson::bonus1 frequency::medium topic::computers
风扇,"fēngshàn (fan)

风扇噪音很大。
Fēngshàn zàoyīn hěn dà.
The fan is very loud.",type::noun lesson::bonus1 frequency::high topic::computers
散热器,"sànrèqì (heatsink / cooler)

散热器上涂了硅脂。
Sànrèqì shàng tú le guīzhī.
Thermal paste is applied on the heatsink.",type::noun lesson::bonus1 frequency::low topic::computers
螺丝刀,"luósīdāo (screwdriver)

用螺丝刀拧螺丝。
Yòng luósīdāo níng luósī.
Use a screwdriver to turn the screws.",type::noun lesson::bonus1 frequency::high topic::tools
插槽,"chācáo (slot)

显卡插在PCIe插槽上。
Xiǎnkǎ chā zài PCIe chācáo shàng.
The graphics card plugs into the PCIe slot.",type::noun lesson::bonus1 frequency::low topic::computers
接口,"jiēkǒu (port)

USB接口很方便。
USB jiēkǒu hěn fāngbiàn.
USB ports are very convenient.",type::noun lesson::bonus1 frequency::medium topic::computers
电缆,"diànlǎn (cable)

电缆太短了。
Diànlǎn tài duǎn le.
The cable is too short.",type::noun lesson::bonus1 frequency::medium topic::computers
开机,"kāijī (to power on)

电脑开不了机。
Diànnǎo kāi bù liǎo jī.
The PC won’t power on.",type::verb lesson::bonus1 frequency::high topic::computers grammar::separable
关机,"guānjī (to shut down)

别忘了关机。
Bié wàng le guānjī.
Don’t forget to shut down.",type::verb lesson::bonus1 frequency::high topic::computers grammar::separable
重启,"chóngqǐ (to restart)

更新以后需要重启电脑。
Gēngxīn yǐhòu xūyào chóngqǐ diànnǎo.
You need to restart after an update.",type::verb lesson::bonus1 frequency::high topic::computers
工作,"gōngzuò (job / to work)

我的工作很忙。
Wǒ de gōngzuò hěn máng.
My job is very busy.",type::noun/verb lesson::lesson4 frequency::high topic::jobs hsk::1
以后,"yǐhòu (in the future / later)

以后我想当医生。
Yǐhòu wǒ xiǎng dāng yīshēng.
In the future I want to be a doctor.",type::noun lesson::lesson4 frequency::high topic::time hsk::1
想,"xiǎng (want to / would like to / think)

我想学汉语。
Wǒ xiǎng xué Hànyǔ.
I want to learn Chinese.",type::verb lesson::lesson4 frequency::high topic::desire hsk::1 grammar::modal_verb
做,"zuò (to do / to be (a job))

你做什么工作？
Nǐ zuò shénme gōngzuò?
What job do you do?",type::verb lesson::lesson4 frequency::high topic::actions hsk::1
什么,"shénme (what)

你叫什么名字？
Nǐ jiào shénme míngzi?
What is your name?",type::pronoun lesson::lesson4 frequency::high topic::questions hsk::1 grammar::question_word
表格,"biǎogé (form / table)

请填写这张表格。
Qǐng tiánxiě zhè zhāng biǎogé.
Please fill out this form.",type::noun lesson::lesson4 frequency::medium topic::school hsk::3
老师,"lǎoshī (teacher)

李老师教中文。
Lǐ lǎoshī jiāo Zhōngwén.
Teacher Li teaches Chinese.",type::noun lesson::lesson4 frequency::high topic::jobs hsk::1
医生,"yīshēng (doctor)

医生很辛苦。
Yīshēng hěn xīnkǔ.
Doctors work very hard.",type::noun lesson::lesson4 frequency::high topic::jobs hsk::1
工程师,"gōngchéngshī (engineer)

我爸爸是软件工程师。
Wǒ bàba shì ruǎnjiàn gōngchéngshī.
My dad is a software engineer.",type::noun lesson::lesson4 frequency::medium topic::jobs hsk::3
中国,"Zhōngguó (China)

中国很大。
Zhōngguó hěn dà.
China is very big.",type::noun lesson::lesson5 frequency::high topic::countries hsk::1
一年,"yī nián (one year)

一年有十二个月。
Yī nián yǒu shí’èr ge yuè.
One year has twelve months.",type::phrase lesson::lesson5 frequency::high topic::time hsk::1
有,"yǒu (have / there is)

我有一只猫。
Wǒ yǒu yī zhī māo.
I have a cat.",type::verb lesson::lesson5 frequency::high topic::possession hsk::1
几个,"jǐ ge (how many (few))

你有几个朋友？
Nǐ yǒu jǐ ge péngyou?
How many friends do you have?",type::phrase lesson::lesson5 frequency::high topic::questions hsk::1
季节,"jìjié (season)

一年有四个季节。
Yī nián yǒu sì ge jìjié.
There are four seasons in a year.",type::noun lesson::lesson5 frequency::medium topic::weather hsk::2
四个,"sì ge (four (of something))

四个学生迟到了。
Sì ge xuésheng chídào le.
Four students were late.",type::number+measure lesson::lesson5 frequency::high topic::numbers hsk::1
春天,"chūntiān (spring)

春天花开了。
Chūntiān huā kāi le.
Flowers bloom in spring.","type::noun lesson::lesson5 frequency::high topic::weather,seasons hsk::1"
夏天,"xiàtiān (summer)

夏天很热。
Xiàtiān hěn rè.
Summer is very hot.","type::noun lesson::lesson5 frequency::high topic::weather,seasons hsk::1"
秋天,"qiūtiān (autumn)

秋天树叶变黄了。
Qiūtiān shùyè biàn huáng le.
Leaves turn yellow in autumn.","type::noun lesson::lesson5 frequency::high topic::weather,seasons hsk::1"
冬天,"dōngtiān (winter)

冬天很冷。
Dōngtiān hěn lěng.
Winter is very cold.","type::noun lesson::lesson5 frequency::high topic::weather,seasons hsk::1"
什么时候,"shénme shíhou (when)

你什么时候来？
Nǐ shénme shíhou lái?
When are you coming?",type::phrase lesson::lesson5 frequency::high topic::questions hsk::1 grammar::question_phrase
三月,"sānyuè (March)

三月是春天。
Sānyuè shì chūntiān.
March is spring.","type::noun lesson::lesson5 frequency::high topic::time,months hsk::1"
五月,"wǔyuè (May)

五月一号是劳动节。
Wǔyuè yī hào shì Láodòngjié.
May 1st is Labor Day.","type::noun lesson::lesson5 frequency::high topic::time,months hsk::1"
到,"dào (to / until (from … to))

从周一到周五。
Cóng Zhōuyī dào Zhōuwǔ.
From Monday to Friday.","type::verb/prep lesson::lesson5 frequency::high topic::direction,time hsk::1"
三维打印,"sānwéi dǎyìn (3D printing)

三维打印可以制造玩具。
Sānwéi dǎyìn kěyǐ zhìzào wánjù.
3D printing can make toys.",type::noun lesson::bonus2 frequency::medium topic::3dprinting
打印机,"dǎyìnjī (printer)

打印机没纸了。
Dǎyìnjī méi zhǐ le.
The printer is out of paper.",type::noun lesson::bonus2 frequency::high topic::printing hsk::2
熔融沉积成型,"róngróng chénjī chéngxíng (FDM)

熔融沉积成型是最常见的三维打印技术。
Róngróng chénjī chéngxíng shì zuì chángjiàn de sānwéi dǎyìn jìshù.
FDM is the most common 3D printing technology.",type::noun lesson::bonus2 frequency::low topic::3dprinting
喷嘴,"pēnzuǐ (nozzle)

喷嘴堵住了。
Pēnzuǐ dǔ zhù le.
The nozzle is clogged.",type::noun lesson::bonus2 frequency::low topic::3dprinting
热床,"rèchuáng (heated bed)

热床可以防止翘曲。
Rèchuáng kěyǐ fángzhǐ qiàoqū.
The heated bed prevents warping.",type::noun lesson::bonus2 frequency::low topic::3dprinting
喷头,"pēntóu (extruder)

喷头温度太高了。
Pēntóu wēndù tài gāo le.
The extruder temperature is too high.",type::noun lesson::bonus2 frequency::low topic::3dprinting
耗材,"hàocái (filament)

我买了新的耗材。
Wǒ mǎi le xīn de hàocái.
I bought new filament.",type::noun lesson::bonus2 frequency::low topic::3dprinting
聚乳酸,"jùrǔsuān (PLA)

聚乳酸是最常用的材料。
Jùrǔsuān shì zuì chángyòng de cáiliào.
PLA is the most commonly used material.",type::noun lesson::bonus2 frequency::low topic::3dprinting
丙烯腈丁二烯苯乙烯,"bǐngxījīng dīngèrxī běnyǐxī (ABS)

丙烯腈丁二烯苯乙烯比聚乳酸更结实。
Bǐngxījīng dīngèrxī běnyǐxī bǐ jùrǔsuān gèng jiēshi.
ABS is stronger than PLA.",type::noun lesson::bonus2 frequency::low topic::3dprinting
层高,"cénggāo (layer height)

层高越小打印越慢。
Cénggāo yuè xiǎo dǎyìn yuè màn.
The smaller the layer height, the slower the print.",type::noun lesson::bonus2 frequency::low topic::3dprinting
填充,"tiánchōng (infill)

百分之二十的填充就够了。
Bǎi fēn zhī èrshí de tiánchōng jiù gòu le.
20% infill is enough.",type::noun lesson::bonus2 frequency::low topic::3dprinting
支撑,"zhīchēng (support)

悬空的部分需要支撑。
Xuánkōng de bùfen xūyào zhīchēng.
Overhanging parts need supports.",type::noun lesson::bonus2 frequency::medium topic::3dprinting
切片软件,"qiēpiàn ruǎnjiàn (slicer software)

把模型导入切片软件。
Bǎ móxíng dǎorù qiēpiàn ruǎnjiàn.
Import the model into the slicer.",type::noun lesson::bonus2 frequency::low topic::3dprinting
打印床,"dǎyìn chuáng (print bed)

打印床要干净。
Dǎyìn chuáng yào gānjìng.
The print bed needs to be clean.",type::noun lesson::bonus2 frequency::low topic::3dprinting
粘附,"zhānfù (adhesion)

第一层的粘附很重要。
Dì-yī céng de zhānfù hěn zhòngyào.
First layer adhesion is very important.",type::noun lesson::bonus2 frequency::low topic::3dprinting
翘曲,"qiàoqū (warping)

翘曲会导致打印失败。
Qiàoqū huì dǎozhì dǎyìn shībài.
Warping will cause the print to fail.",type::noun/verb lesson::bonus2 frequency::low topic::3dprinting
拉丝,"lāsī (stringing)

拉丝很影响外观。
Lāsī hěn yǐngxiǎng wàiguān.
Stringing affects the appearance a lot.",type::noun/verb lesson::bonus2 frequency::low topic::3dprinting
调平,"tiáopíng (leveling)

打印前要先调平。
Dǎyìn qián yào xiān tiáopíng.
Level the bed before printing.",type::verb lesson::bonus2 frequency::low topic::3dprinting
挤出,"jǐchū (extrusion)

挤出太慢会缺料。
Jǐchū tài màn huì quē liào.
If extrusion is too slow, there will be under-extrusion.",type::noun/verb lesson::bonus2 frequency::low topic::3dprinting
模型,"móxíng (model)

我下载了一个玩具模型。
Wǒ xiàzài le yí ge wánjù móxíng.
I downloaded a toy model.",type::noun lesson::bonus2 frequency::medium topic::3dprinting
天气,"tiānqì (weather)

今天天气很好。
Jīntiān tiānqì hěn hǎo.
The weather is nice today.",type::noun lesson::lesson6 frequency::high topic::weather hsk::1
预报,"yùbào (forecast)

天气预报说下午有雨。
Tiānqì yùbào shuō xiàwǔ yǒu yǔ.
The weather forecast says rain in the afternoon.",type::noun lesson::lesson6 frequency::high topic::weather hsk::2
晴天,"qíngtiān (sunny day)

明天是晴天。
Míngtiān shì qíngtiān.
Tomorrow will be sunny.",type::noun lesson::lesson6 frequency::high topic::weather hsk::2
下雨,"xià yǔ (to rain)

今天会下雨。
Jīntiān huì xià yǔ.
It will rain today.",type::verb_phrase lesson::lesson6 frequency::high topic::weather hsk::1 grammar::separable
了,"le (change of state / completed action)

下雨了。
Xià yǔ le.
It's raining now (change).",type::particle lesson::lesson6 frequency::high topic::grammar hsk::1 grammar::aspect_particle
还,"hái (still / even)

他还没来。
Tā hái méi lái.
He still hasn't come.",type::adverb lesson::lesson6 frequency::high topic::grammar hsk::1
出去,"chūqù (to go out)

我要出去买东西。
Wǒ yào chūqù mǎi dōngxi.
I'm going out to buy things.",type::verb lesson::lesson6 frequency::high topic::actions hsk::1 grammar::directional_complement
度,"dù (degree (temperature))

今天三十度。
Jīntiān sānshí dù.
Today is 30 degrees.","type::measure lesson::lesson6 frequency::high topic::weather,measurement hsk::2"
高,"gāo (high)

温度很高。
Wēndù hěn gāo.
The temperature is high.",type::adj lesson::lesson6 frequency::high topic::description hsk::1
温度,"wēndù (temperature)

室内温度正好。
Shìnèi wēndù zhènghǎo.
The indoor temperature is just right.",type::noun lesson::lesson6 frequency::high topic::weather hsk::2
低,"dī (low)

气温很低。
Qìwēn hěn dī.
The temperature is very low.",type::adj lesson::lesson6 frequency::high topic::description hsk::1
零下,"língxià (below zero)

冬天零下十度。
Dōngtiān língxià shí dù.
In winter it's minus ten degrees.",type::noun/prefix lesson::lesson6 frequency::medium topic::weather hsk::2
会,"huì (be likely to / can / know how to)

明天会下雨。
Míngtiān huì xià yǔ.
It will likely rain tomorrow.",type::verb_(modal) lesson::lesson6 frequency::high topic::grammar hsk::1 grammar::modal_verb
下雪,"xià xuě (to snow)

北方冬天经常下雪。
Běifāng dōngtiān jīngcháng xià xuě.
Northern winters often have snow.",type::verb_phrase lesson::lesson6 frequency::medium topic::weather hsk::1 grammar::separable
游泳,"yóuyǒng (to swim)

我喜欢游泳。
Wǒ xǐhuan yóuyǒng.
I like swimming.",type::verb lesson::lesson6 frequency::high topic::sports hsk::1
能,"néng (can (ability/permission))

我能试试吗？
Wǒ néng shìshi ma?
Can I try?",type::verb_(modal) lesson::lesson6 frequency::high topic::grammar hsk::1 grammar::modal_verb
阳光,"yángguāng (sunshine)

今天阳光很好。
Jīntiān yángguāng hěn hǎo.
The sunshine is nice today.",type::noun lesson::lesson6 frequency::high topic::weather hsk::2
约,"yuē (to make an appointment / to arrange)

我们约个时间见面吧。
Wǒmen yuē ge shíjiān jiànmiàn ba.
Let's arrange a time to meet.",type::verb lesson::lesson6 frequency::high topic::social hsk::2
散步,"sànbù (to take a walk)

晚饭后我们去散步。
Wǎnfàn hòu wǒmen qù sànbù.
After dinner we go for a walk.",type::verb lesson::lesson6 frequency::high topic::activities hsk::1 grammar::separable
聊天儿,"liáotiānr (to chat)

朋友一起聊天儿很开心。
Péngyou yīqǐ liáotiānr hěn kāixīn.
Chatting with friends is very happy.",type::verb lesson::lesson6 frequency::high topic::social hsk::2 grammar::separable
或者,"huòzhě (or)

喝茶或者咖啡都可以。
Hē chá huòzhě kāfēi dōu kěyǐ.
Drinking tea or coffee is fine.",type::conjunction lesson::lesson6 frequency::high topic::grammar hsk::2
骑车,"qí chē (to ride a bike)

我每天骑车上班。
Wǒ měitiān qí chē shàngbān.
I ride a bike to work every day.",type::verb_phrase lesson::lesson6 frequency::high topic::transport hsk::1
运动,"yùndòng (to exercise / sports)

你每天运动吗？
Nǐ měitiān yùndòng ma?
Do you exercise every day?",type::verb/noun lesson::lesson6 frequency::high topic::sports hsk::1
放松,"fàngsōng (to relax)

听音乐可以放松心情。
Tīng yīnyuè kěyǐ fàngsōng xīnqíng.
Listening to music can relax your mood.",type::verb lesson::lesson6 frequency::high topic::feelings hsk::2
可能,"kěnéng (probably / maybe / possible)

他可能不来了。
Tā kěnéng bù lái le.
He probably isn't coming.",type::adv/adj lesson::lesson6 frequency::high topic::grammar hsk::2
如果,"rúguǒ (if)

如果明天下雨，我们就不去公园。
Rúguǒ míngtiān xià yǔ, wǒmen jiù bú qù gōngyuán.
If it rains tomorrow, we won't go to the park.",type::conjunction lesson::lesson6 frequency::high topic::grammar hsk::2
只,"zhǐ (only)

我只买了一个。
Wǒ zhǐ mǎi le yí ge.
I only bought one.",type::adverb lesson::lesson6 frequency::high topic::grammar hsk::2
上网,"shàngwǎng (to go online)

我每天晚上上网看视频。
Wǒ měitiān wǎnshàng shàngwǎng kàn shìpín.
I go online every night to watch videos.",type::verb lesson::lesson6 frequency::high topic::internet hsk::1 grammar::separable
不过,"búguò (but / however)

我喜欢吃辣，不过不能吃太多。
Wǒ xǐhuan chī là, búguò bùnéng chī tài duō.
I like spicy food, but I can't eat too much.",type::conjunction lesson::lesson6 frequency::high topic::grammar hsk::2
教室,"jiàoshì (classroom)

教室很干净。
Jiàoshì hěn gānjìng.
The classroom is very clean.",type::noun lesson::lesson7 frequency::high topic::classroom hsk::1
里面,"lǐmiàn (inside)

书包里面有什么？
Shūbāo lǐmiàn yǒu shénme?
What's inside the backpack?",type::noun_(location) lesson::lesson7 frequency::high topic::location hsk::1
有什么,"yǒu shénme (what is there)

冰箱里有什么？
Bīngxiāng lǐ yǒu shénme?
What's in the fridge?",type::phrase lesson::lesson7 frequency::high topic::questions hsk::1
桌子,"zhuōzi (desk / table)

桌子上有一本书。
Zhuōzi shàng yǒu yī běn shū.
There is a book on the desk.",type::noun lesson::lesson7 frequency::high topic::furniture hsk::1
椅子,"yǐzi (chair)

这把椅子很舒服。
Zhè bǎ yǐzi hěn shūfu.
This chair is very comfortable.",type::noun lesson::lesson7 frequency::high topic::furniture hsk::1
电脑,"diànnǎo (computer)

我的电脑坏了。
Wǒ de diànnǎo huài le.
My computer is broken.",type::noun lesson::lesson7 frequency::high topic::electronics hsk::1
前面,"qiánmiàn (in front of)

教室前面有一块黑板。
Jiàoshì qiánmiàn yǒu yī kuài hēibǎn.
In front of the classroom there is a blackboard.",type::noun_(location) lesson::lesson7 frequency::high topic::location hsk::1
一块,"yī kuài (one (piece of))

一块蛋糕。
Yī kuài dàngāo.
One piece of cake.",type::measure lesson::lesson7 frequency::high topic::measurement hsk::1
黑板,"hēibǎn (blackboard)

老师在黑板上写字。
Lǎoshī zài hēibǎn shàng xiě zì.
The teacher writes on the blackboard.",type::noun lesson::lesson7 frequency::high topic::classroom hsk::1
三维建模,"sānwéi jiànmó (3D modeling)

他在学三维建模。
Tā zài xué sānwéi jiànmó.
He is learning 3D modeling.","type::noun lesson::bonus3 frequency::medium topic::3dmodeling,cad"
计算机辅助设计,"jìsuànjī fǔzhù shèjì (CAD)

工程师用计算机辅助设计画图。
Gōngchéngshī yòng jìsuànjī fǔzhù shèjì huà tú.
Engineers use CAD to draw.",type::noun lesson::bonus3 frequency::low topic::cad
融合,"rónghé (Fusion (software))

我用融合软件建模。
Wǒ yòng rónghé ruǎnjiàn jiànmó.
I use Fusion software to model.",type::noun lesson::bonus3 frequency::low topic::cad
草图,"cǎotú (sketch)

先画一个草图。
Xiān huà yí ge cǎotú.
First draw a sketch.","type::noun lesson::bonus3 frequency::medium topic::design,cad"
拉伸,"lāshēn (extrude)

把这个圆拉伸成立方体。
Bǎ zhège yuán lāshēn chéng lìfāngtǐ.
Extrude this circle into a cube.",type::verb lesson::bonus3 frequency::low topic::cad
旋转,"xuánzhuǎn (revolve)

旋转草图可以生成圆柱。
Xuánzhuǎn cǎotú kěyǐ shēngchéng yuánzhù.
Revolving a sketch creates a cylinder.","type::verb lesson::bonus3 frequency::high topic::cad,movement hsk::2"
扫掠,"sǎolüè (sweep)

用扫掠功能做管道。
Yòng sǎolüè gōngnéng zuò guǎndào.
Use the sweep function to make a pipe.",type::verb lesson::bonus3 frequency::low topic::cad
放样,"fàngyàng (loft)

放样可以把两个形状连接起来。
Fàngyàng kěyǐ bǎ liǎng ge xíngzhuàng liánjiē qǐlai.
Loft connects two shapes together.",type::verb lesson::bonus3 frequency::low topic::cad
倒角,"dàojiǎo (chamfer)

给边缘倒角更安全。
Gěi biānyuán dàojiǎo gèng ānquán.
Chamfering the edge is safer.",type::verb/noun lesson::bonus3 frequency::low topic::cad
圆角,"yuánjiǎo (fillet)

给直角做圆角更美观。
Gěi zhíjiǎo zuò yuánjiǎo gèng měiguān.
Adding fillets to right angles looks better.",type::verb/noun lesson::bonus3 frequency::low topic::cad
抽壳,"chōuké (shell)

抽壳可以把实心变成空心。
Chōuké kěyǐ bǎ shíxīn biàn chéng kōngxīn.
Shelling turns a solid body hollow.",type::verb lesson::bonus3 frequency::low topic::cad
布尔运算,"bù'ěr yùnsuàn (Boolean operation)

布尔运算可以合并或切割物体。
Bù'ěr yùnsuàn kěyǐ hébìng huò qiēgē wùtǐ.
Boolean operations can combine or cut objects.",type::noun lesson::bonus3 frequency::low topic::cad
合并,"hébìng (union)

把这两个物体合并成一个。
Bǎ zhè liǎng ge wùtǐ hébìng chéng yí ge.
Union these two objects into one.",type::verb lesson::bonus3 frequency::medium topic::cad hsk::3
